country,year,gdp
United Arab Emirates,2017,704732266496
United Arab Emirates,2018,713991258112
United Arab Emirates,2019,721905123328
United Arab Emirates,2022,772207411200
United Arab Emirates,2023,798492196864
Afghanistan,2007,71506411520
Afghanistan,2008,70340698112
Afghanistan,2011,87721918464
Afghanistan,2012,96194863104
Afghanistan,2013,102418915328
Afghanistan,2014,105464455168
Afghanistan,2017,107667087360
Afghanistan,2020,119856381952
Afghanistan,2021,99901177856
Albania,2002,25470328832
Albania,2005,29928144896
Albania,2007,33590992896
Albania,2008,36110340096
Albania,2009,37321584640
Albania,2010,38705111040
Albania,2011,39690330112
Albania,2012,40252776448
Albania,2013,40656109568
Albania,2014,41377599488
Albania,2015,42295664640
Albania,2016,43697774592
Albania,2017,45359222784
Albania,2018,47182352384
Albania,2019,48167350272
Albania,2020,46490296320
Albania,2021,50726117376
Albania,2022,53189636096
Albania,2023,54943100928
Armenia,2007,37563187200
Armenia,2008,40172978176
Armenia,2009,34488500224
Armenia,2010,35252432896
Armenia,2012,39535333376
Armenia,2013,40823361536
Armenia,2014,42310139904
Armenia,2015,43679158272
Armenia,2016,43754237952
Armenia,2017,47048515584
Armenia,2018,49496240128
Armenia,2019,53273010176
Armenia,2020,49459249152
Armenia,2021,52326080512
Armenia,2022,58932150272
Angola,2000,106627555328
Angola,2009,236280397824
Angola,2019,294573801472
Angola,2021,281300467712
Angola,2022,289739833344
Argentina,1980,680326660096
Argentina,1982,623132934144
Argentina,1987,676430807040
Argentina,1988,663222222848
Argentina,1991,672336510976
Argentina,1992,741615599616
Argentina,1993,787980550144
Argentina,1994,833968799744
Argentina,1995,810241359872
Argentina,1996,855018504192
Argentina,1997,924372041728
Argentina,1998,959961694208
Argentina,1999,927460818944
Argentina,2000,920143200256
Argentina,2001,879577399296
Argentina,2002,783752036352
Argentina,2003,853011726336
Argentina,2004,930034679808
Argentina,2005,1012358381568
Argentina,2006,1093823299584
Argentina,2008,1240729387008
Argentina,2009,1167297216512
Argentina,2010,1285492310016
Argentina,2011,1362669469696
Argentina,2012,1348683300864
Argentina,2013,1381124800512
Argentina,2014,1346419032064
Argentina,2017,1392591765504
Argentina,2018,1356146016256
Argentina,2019,1329010442240
Argentina,2020,1197429227520
Argentina,2021,1325772308480
Argentina,2022,1391479226368
Argentina,2023,1369645121536
Austria,1995,420087496704
Austria,1996,429957513216
Austria,1997,438958948352
Austria,1998,454679724032
Austria,1999,470849781760
Austria,2000,486743900160
Austria,2001,492912541696
Austria,2002,501052997632
Austria,2003,505770409984
Austria,2004,519603847168
Austria,2005,531263520768
Austria,2006,549613469696
Austria,2007,570099892224
Austria,2008,578425585664
Austria,2009,556650921984
Austria,2010,566877487104
Austria,2011,583445577728
Austria,2012,587416272896
Austria,2013,587565891584
Austria,2014,591450996736
Austria,2015,597451210752
Austria,2016,609337212928
Austria,2017,623099248640
Austria,2018,638212440064
Austria,2019,647469596672
Austria,2020,604522348544
Austria,2021,630141812736
Austria,2022,660429012992
Australia,1985,589596327936
Australia,1989,689271472128
Australia,2001,1011492651008
Australia,2002,1047111139328
Australia,2003,1085613735936
Australia,2004,1125502550016
Australia,2005,1158776487936
Australia,2006,1196816859136
Australia,2007,1240767922176
Australia,2008,1274358530048
Australia,2009,1300412235776
Australia,2010,1330958565376
Australia,2011,1372928212992
Australia,2012,1417286647808
Australia,2013,1454379368448
Australia,2014,1489127342080
Australia,2015,1526243393536
Australia,2016,1565492641792
Australia,2017,1606327074816
Australia,2018,1647188770816
Australia,2020,1676864389120
Azerbaijan,2015,221842653184
Bosnia and Herzegovina,2001,37523292160
Bosnia and Herzegovina,2006,47667249152
Bosnia and Herzegovina,2007,50460184576
Bosnia and Herzegovina,2008,53206073344
Bosnia and Herzegovina,2009,51607572480
Bosnia and Herzegovina,2010,52054315008
Bosnia and Herzegovina,2011,52553822208
Bosnia and Herzegovina,2012,52121870336
Bosnia and Herzegovina,2013,53346713600
Bosnia and Herzegovina,2014,53962166272
Bosnia and Herzegovina,2015,56290471936
Bosnia and Herzegovina,2016,58115661824
Bosnia and Herzegovina,2017,60001062912
Bosnia and Herzegovina,2018,62298365952
Bosnia and Herzegovina,2019,64096325632
Bosnia and Herzegovina,2020,62163648512
Bosnia and Herzegovina,2021,66758668288
Bosnia and Herzegovina,2022,69499912192
Bosnia and Herzegovina,2023,70750601216
Bangladesh,1999,331289559040
Bangladesh,2005,460109217792
Bangladesh,2010,668361949184
Bangladesh,2013,846221869056
Bangladesh,2015,996950867968
Bangladesh,2016,1073802444800
Bangladesh,2022,1574341967872
Belgium,1983,385473249280
Belgium,1984,394980392960
Belgium,1985,401505026048
Belgium,1986,408823234560
Belgium,1987,418253176832
Belgium,1988,438008676352
Belgium,1989,453204115456
Belgium,1990,467422216192
Belgium,1991,475990917120
Belgium,1992,483276619776
Belgium,1993,478627758080
Belgium,1994,494073675776
Belgium,1995,505812385792
