country,region,hours_worked,hours_worked_men,hours_worked_women,hours_worker,hours_worker_men,hours_worker_women,tax_labor
United Arab Emirates,Middle East and North Africa,37.1201820373535,43.2248649597168,25.2657432556152,48.3545989990234,48.3272819519043,48.4455718994141,
Afghanistan,Middle East and North Africa,15.9496545791626,27.962043762207,3.84773254394531,37.9621620178223,42.6401290893555,21.1394939422607,0.0245431512594223
Albania,Eastern Europe and ex-USSR,23.8888130187988,27.5497493743897,20.3644924163818,41.8615493774414,43.9049186706543,39.4686470031738,0.11846611648798
Armenia,Eastern Europe and ex-USSR,19.4191646575928,25.7016372680664,14.2547311782837,41.2722244262695,44.3481559753418,37.4249267578125,0.11403127014637
Angola,Sub-Saharan Africa,27.9204292297363,29.4337635040283,26.5123252868652,43.1165542602539,44.5534553527832,41.7207908630371,
Argentina,Latin America,21.9088821411133,28.1078586578369,16.2171363830566,37.4752082824707,41.2390785217285,32.7224082946777,0.163970962166786
Austria,Western Europe and Anglosphere,17.5307369232178,21.527645111084,13.7226467132568,29.9063816070557,33.8296318054199,25.4883213043213,0.497743785381317
Australia,Western Europe and Anglosphere,22.4055805206299,26.529260635376,18.4479808807373,35.6057281494141,39.4632415771484,31.3732395172119,0.228282183408737
Azerbaijan,Eastern Europe and ex-USSR,29.6284732818604,35.4066123962402,24.6615867614746,52.1790580749512,53.7407951354981,50.3724784851074,0.0963558852672577
Bosnia and Herzegovina,Eastern Europe and ex-USSR,16.8800888061523,21.9127635955811,12.0988855361938,36.4309310913086,38.8493576049805,32.9062728881836,0.352308869361877
Bangladesh,South Asia,25.1888732910156,38.9809417724609,8.20585918426514,47.3186988830566,50.843692779541,33.654655456543,0.0127883488312364
Belgium,Western Europe and Anglosphere,16.7366466522217,19.8695755004883,13.7188816070557,32.1729049682617,35.4420547485352,28.5048236846924,0.440309196710587
Burkina Faso,Sub-Saharan Africa,27.1521091461182,35.7319869995117,20.2803993225098,38.2734298706055,45.3927421569824,31.337818145752,0.0652056857943535
Bulgaria,Eastern Europe and ex-USSR,20.839916229248,23.7041683197022,18.2694759368897,39.1814918518066,40.1848945617676,38.0745086669922,0.267128258943558
Burundi,Sub-Saharan Africa,32.2646217346191,33.3039703369141,31.3808765411377,41.5245018005371,43.6522636413574,39.7749633789063,0.0553367361426354
Benin,Sub-Saharan Africa,33.8745574951172,36.6011047363281,31.4655590057373,45.1692657470703,47.8048896789551,42.7471237182617,0.0254882089793682
Brunei Darussalam,East and Southeast Asia,27.2339515686035,31.3866634368897,22.5515403747559,45.0258140563965,45.8392066955566,43.8042030334473,
Bolivia,Latin America,29.3632926940918,36.3320846557617,22.8482170104981,43.1932525634766,46.4028129577637,39.1659889221191,0.144342452287674
Brazil,Latin America,23.3694038391113,28.9504413604736,18.1629066467285,40.0516548156738,41.8523902893066,37.643310546875,0.249540850520134
Bhutan,East and Southeast Asia,33.3150138854981,40.3204345703125,26.8134746551514,56.1413650512695,57.4125442504883,54.4586143493652,
Botswana,Sub-Saharan Africa,22.5663776397705,26.5847721099854,18.9525260925293,43.4223556518555,45.4486312866211,41.1067199707031,0.11171405762434
Belarus,Eastern Europe and ex-USSR,24.2702407836914,27.4598159790039,21.4801921844482,36.0546188354492,38.2723236083984,33.8605461120606,0.289080142974854
Belize,Latin America,26.4120635986328,34.1989517211914,18.6824855804443,41.6505317687988,44.0791015625,37.8051948547363,0.106879770755768
Canada,Western Europe and Anglosphere,20.3750743865967,23.4203319549561,17.3949546813965,32.8310394287109,35.5861473083496,29.7919998168945,0.290269106626511
DR Congo,Sub-Saharan Africa,23.7260913848877,26.186128616333,21.4450740814209,37.6222534179688,39.6278228759766,35.5837020874023,0.0145479589700699
Central African Republic,Sub-Saharan Africa,24.9354457855225,27.2477226257324,22.8462467193604,39.3316917419434,40.8073692321777,37.856502532959,0.0110413488000631
Republic of the Congo,Sub-Saharan Africa,23.8040447235107,26.6176242828369,21.311695098877,40.468936920166,42.7180938720703,38.2418251037598,0.0322998687624931
Switzerland,Western Europe and Anglosphere,21.1568431854248,25.7562675476074,16.6822261810303,33.174430847168,37.3195419311523,28.4311847686768,0.253827482461929
Cote d'Ivoire,Sub-Saharan Africa,27.6727561950684,33.2117080688477,22.668550491333,42.1854705810547,44.9152183532715,39.0444984436035,0.0683537721633911
Chile,Latin America,21.2769508361816,26.2875728607178,16.4675979614258,38.0105934143066,40.3481101989746,34.9116249084473,0.071055643260479
