country,year,hours_worked
United Arab Emirates,2017,44.0715446472168
United Arab Emirates,2018,40.9444541931152
United Arab Emirates,2019,40.8200645446777
United Arab Emirates,2022,37.8890914916992
United Arab Emirates,2023,37.1201820373535
Afghanistan,2007,22.5585155487061
Afghanistan,2008,22.0880336761475
Afghanistan,2011,20.1555728912354
Afghanistan,2012,19.5226097106934
Afghanistan,2013,16.4056434631348
Afghanistan,2014,17.9549884796143
Afghanistan,2017,15.9496545791626
Afghanistan,2020,15.4331283569336
Afghanistan,2021,18.1748447418213
Albania,2002,18.7998638153076
Albania,2005,20.6972332000732
Albania,2007,18.5158252716064
Albania,2008,19.6763610839844
Albania,2009,20.1562080383301
Albania,2010,19.4849319458008
Albania,2011,18.6523838043213
Albania,2012,19.6142807006836
Albania,2013,18.1255397796631
Albania,2014,16.5450000762939
Albania,2015,17.575590133667
Albania,2016,19.354341506958
Albania,2017,20.2670097351074
Albania,2018,21.3147411346436
Albania,2019,22.2498207092285
Albania,2020,20.5941200256348
Albania,2021,21.8235645294189
Albania,2022,23.3364849090576
Albania,2023,23.8888130187988
Armenia,2007,18.1409740447998
Armenia,2008,18.2761478424072
Armenia,2009,17.425874710083
Armenia,2010,18.5462856292725
Armenia,2012,19.4486751556397
Armenia,2013,20.0858478546143
Armenia,2014,20.9173049926758
Armenia,2015,19.1306304931641
Armenia,2016,18.7080135345459
Armenia,2017,18.8429660797119
Armenia,2018,17.9036235809326
Armenia,2019,19.333683013916
Armenia,2020,18.425802230835
Armenia,2021,18.2741451263428
Armenia,2022,19.4191646575928
Angola,2000,37.4280242919922
Angola,2009,33.6235237121582
Angola,2019,25.8902492523193
Angola,2021,25.8737907409668
Angola,2022,27.9204292297363
Argentina,1980,22.4449043273926
Argentina,1982,22.0993518829346
Argentina,1987,21.488187789917
Argentina,1988,23.0829677581787
Argentina,1991,23.0656757354736
Argentina,1992,22.7466773986816
Argentina,1993,22.5564861297607
Argentina,1994,21.4102764129639
Argentina,1995,19.7519836425781
Argentina,1996,19.7273616790772
Argentina,1997,20.7558746337891
Argentina,1998,20.7431468963623
Argentina,1999,20.6062908172607
Argentina,2000,20.2434463500977
Argentina,2001,18.4054470062256
Argentina,2002,18.0651664733887
Argentina,2003,19.0837898254395
Argentina,2004,21.2849102020264
Argentina,2005,21.7732982635498
Argentina,2006,22.2269382476807
Argentina,2008,22.5086269378662
Argentina,2009,21.9355144500732
Argentina,2010,22.0572509765625
Argentina,2011,22.4398937225342
Argentina,2012,22.0504341125488
Argentina,2013,21.803295135498
Argentina,2014,21.3031005859375
Argentina,2017,20.2335796356201
Argentina,2018,20.2280788421631
Argentina,2019,19.9498233795166
Argentina,2020,15.9583158493042
Argentina,2021,20.1574573516846
Argentina,2022,21.2493114471436
Argentina,2023,21.9088821411133
Austria,1995,21.7037239074707
Austria,1996,21.1645889282227
Austria,1997,21.5324001312256
Austria,1998,20.7127990722656
Austria,1999,20.9822406768799
Austria,2000,20.7968654632568
Austria,2001,20.8886909484863
Austria,2002,20.5603313446045
Austria,2003,20.6749458312988
Austria,2004,19.3421478271484
Austria,2005,19.0639152526855
Austria,2006,19.2851886749268
Austria,2007,19.5597667694092
Austria,2008,19.6609058380127
Austria,2009,18.6898155212402
Austria,2010,18.7047348022461
Austria,2011,18.8615379333496
Austria,2012,18.6277484893799
Austria,2013,18.3715229034424
Austria,2014,18.1822357177734
Austria,2015,17.880126953125
Austria,2016,18.0912494659424
Austria,2017,18.0348968505859
Austria,2018,18.1700038909912
Austria,2019,18.3856601715088
Austria,2020,16.6225166320801
Austria,2021,17.1937484741211
Austria,2022,17.5307369232178
Australia,1985,20.5842800140381
Australia,1989,21.2004108428955
Australia,2001,22.818754196167
Australia,2002,23.0877838134766
Australia,2003,22.8603382110596
Australia,2004,23.1051712036133
Australia,2005,23.3088989257813
Australia,2006,23.4835662841797
Australia,2007,23.7260360717773
Australia,2008,23.854944229126
Australia,2009,23.3334369659424
Australia,2010,23.398868560791
Australia,2011,23.1314601898193
Australia,2012,22.8997745513916
Australia,2013,22.5038108825684
Australia,2014,22.2911624908447
Australia,2015,22.4200229644775
Australia,2016,22.3824214935303
Australia,2017,22.8112106323242
Australia,2018,22.4055805206299
Australia,2020,22.0688209533691
Azerbaijan,2015,29.6284732818604
Bosnia and Herzegovina,2001,13.6634349822998
Bosnia and Herzegovina,2006,12.2117147445679
Bosnia and Herzegovina,2007,12.9081726074219
Bosnia and Herzegovina,2008,14.0563545227051
Bosnia and Herzegovina,2009,13.6643009185791
Bosnia and Herzegovina,2010,13.2721071243286
Bosnia and Herzegovina,2011,13.0036630630493
Bosnia and Herzegovina,2012,13.075047492981
Bosnia and Herzegovina,2013,13.0190143585205
Bosnia and Herzegovina,2014,13.0138883590698
Bosnia and Herzegovina,2015,12.9941301345825
Bosnia and Herzegovina,2016,13.5340881347656
Bosnia and Herzegovina,2017,13.8040542602539
Bosnia and Herzegovina,2018,14.1824655532837
Bosnia and Herzegovina,2019,14.5791206359863
Bosnia and Herzegovina,2020,15.8151035308838
Bosnia and Herzegovina,2021,16.5146732330322
Bosnia and Herzegovina,2022,16.4442558288574
Bosnia and Herzegovina,2023,16.8800888061523
Bangladesh,1999,26.9184074401856
Bangladesh,2005,25.1585350036621
Bangladesh,2010,26.1921844482422
Bangladesh,2013,25.0219745635986
Bangladesh,2015,25.0298042297363
Bangladesh,2016,24.9788341522217
Bangladesh,2022,25.1888732910156
Belgium,1983,17.1765613555908
Belgium,1984,17.0008716583252
Belgium,1985,17.3329563140869
Belgium,1986,17.3376140594482
Belgium,1987,16.8771915435791
Belgium,1988,17.0101127624512
Belgium,1989,17.3894538879395
Belgium,1990,17.5104942321777
Belgium,1991,17.5742244720459
Belgium,1992,18.0035076141357
Belgium,1993,18.6686401367188
Belgium,1994,18.1594104766846
Belgium,1995,18.6275463104248
Belgium,1996,18.82373046875
Belgium,1997,18.8909969329834
Belgium,1998,18.1736927032471
Belgium,1999,15.6754779815674
Belgium,2000,16.1181621551514
Belgium,2001,17.3728866577148
Belgium,2002,17.6212215423584
Belgium,2003,17.2434997558594
Belgium,2004,17.6396675109863
Belgium,2005,17.17724609375
Belgium,2006,17.2721920013428
Belgium,2007,17.1926498413086
Belgium,2008,17.2146682739258
Belgium,2009,17.0342769622803
Belgium,2010,16.9449634552002
Belgium,2011,16.6195678710938
Belgium,2012,16.5276794433594
Belgium,2013,16.393274307251
Belgium,2014,16.4067192077637
Belgium,2015,16.2851753234863
Belgium,2016,16.4530410766602
Belgium,2017,16.7969303131104
Belgium,2018,17.1655960083008
Belgium,2019,17.0101013183594
Belgium,2020,15.5272855758667
Belgium,2021,16.4358558654785
Belgium,2022,16.7366466522217
Burkina Faso,2014,27.6566982269287
Burkina Faso,2022,27.1521091461182
Bulgaria,2000,18.6425609588623
Bulgaria,2001,16.2885837554932
Bulgaria,2002,16.34690284729
Bulgaria,2003,16.6149482727051
Bulgaria,2004,17.7269535064697
Bulgaria,2005,17.7709884643555
Bulgaria,2006,18.7034873962402
Bulgaria,2007,19.7209720611572
Bulgaria,2008,20.2642402648926
Bulgaria,2009,19.1252346038818
Bulgaria,2010,18.6077003479004
Bulgaria,2011,18.0096206665039
Bulgaria,2012,17.77978515625
Bulgaria,2013,17.8987808227539
Bulgaria,2014,18.2814636230469
Bulgaria,2015,18.880973815918
Bulgaria,2016,18.8149375915527
Bulgaria,2017,19.7872295379639
Bulgaria,2018,19.8793678283691
Bulgaria,2019,20.5406684875488
Bulgaria,2020,19.5009574890137
Bulgaria,2021,20.1005229949951
Bulgaria,2022,20.839916229248
Burundi,2014,32.2646217346191
Burundi,2020,30.8647727966309
Benin,2011,29.2201442718506
Benin,2019,33.5048561096191
Benin,2022,33.8745574951172
Brunei Darussalam,2014,28.3613739013672
Brunei Darussalam,2017,26.4479637145996
Brunei Darussalam,2018,27.9311580657959
Brunei Darussalam,2019,27.8484477996826
Brunei Darussalam,2020,26.4883117675781
Brunei Darussalam,2021,28.1975173950195
Brunei Darussalam,2022,27.2345714569092
Brunei Darussalam,2023,27.2339515686035
Bolivia,1989,26.2307472229004
Bolivia,1991,27.0360145568848
Bolivia,1992,27.7541790008545
Bolivia,1993,28.093900680542
Bolivia,1994,29.8669624328613
Bolivia,1999,31.9142379760742
Bolivia,2000,32.1008911132813
Bolivia,2001,30.7667064666748
Bolivia,2002,31.7105216979981
Bolivia,2004,32.7666015625
Bolivia,2005,31.5832233428955
Bolivia,2006,32.7738800048828
Bolivia,2007,32.3376235961914
Bolivia,2008,33.5726852416992
Bolivia,2009,32.6830177307129
Bolivia,2011,32.0607452392578
Bolivia,2012,32.0382537841797
Bolivia,2013,31.5429840087891
Bolivia,2014,32.9449806213379
Bolivia,2015,31.1013793945313
Bolivia,2016,30.2405281066895
Bolivia,2017,29.882963180542
Bolivia,2018,29.0910720825195
Bolivia,2019,29.3632926940918
Bolivia,2020,28.2972812652588
Bolivia,2021,27.5746040344238
Brazil,1981,26.6351985931397
Brazil,1982,27.2350978851318
Brazil,1983,26.7829418182373
Brazil,1984,27.0368041992188
Brazil,1985,27.7264099121094
Brazil,1986,27.8402652740479
Brazil,1987,28.0459880828857
Brazil,1988,27.7193775177002
Brazil,1989,28.064489364624
Brazil,1990,27.5247421264648
Brazil,1992,26.7494850158691
Brazil,1993,26.3857879638672
Brazil,1995,26.4137802124023
Brazil,1996,25.8372955322266
Brazil,1997,25.6140518188477
Brazil,1998,25.2769603729248
Brazil,1999,24.9814071655273
Brazil,2001,26.4259338378906
Brazil,2002,25.7272243499756
Brazil,2003,25.4208221435547
Brazil,2004,25.7625598907471
Brazil,2005,25.6704254150391
Brazil,2006,25.7412357330322
Brazil,2007,25.6601390838623
Brazil,2008,25.9268341064453
Brazil,2009,25.5318126678467
Brazil,2011,25.0270309448242
Brazil,2012,24.3207206726074
Brazil,2013,24.1773071289063
Brazil,2014,23.9603824615479
Brazil,2015,23.4476490020752
Brazil,2016,22.5907306671143
Brazil,2017,22.3364524841309
Brazil,2018,22.5265502929688
Brazil,2019,22.8463935852051
Brazil,2020,20.6343669891357
Brazil,2022,23.3694038391113
Bhutan,2003,33.5687408447266
Bhutan,2007,32.443489074707
Bhutan,2018,30.9587249755859
Bhutan,2019,35.053840637207
Bhutan,2020,32.2092514038086
Bhutan,2021,34.132926940918
Bhutan,2022,33.3150138854981
Botswana,1996,19.590784072876
Botswana,2006,23.6933307647705
Botswana,2009,24.9796276092529
Botswana,2015,23.4116630554199
Botswana,2019,22.9136447906494
Botswana,2020,23.3005924224854
Botswana,2021,22.5287666320801
Botswana,2022,21.6109256744385
Botswana,2023,22.5663776397705
Belarus,2016,23.1693096160889
Belarus,2017,23.6053371429443
Belarus,2018,23.9419326782227
Belarus,2019,24.0743770599365
Belarus,2020,23.5610961914063
Belarus,2021,23.9050827026367
Belarus,2022,24.129753112793
Belarus,2023,24.2702407836914
Belize,1993,22.7679958343506
