voter_id,candidate
1,Other candidate
2,Other candidate
3,Other candidate
4,Other candidate
5,Pumpernickel
6,Other candidate
7,Other candidate
8,Other candidate
9,Other candidate
10,Other candidate
11,Other candidate
12,Other candidate
13,Pumpernickel
14,Pumpernickel
15,Other candidate
16,Other candidate
17,Other candidate
18,Other candidate
19,Other candidate
20,Pumpernickel
21,Other candidate
22,Other candidate
23,Pumpernickel
24,Other candidate
25,Other candidate
26,Pumpernickel
27,Other candidate
28,Other candidate
29,Other candidate
30,Other candidate
31,Other candidate
32,Other candidate
33,Other candidate
34,Pumpernickel
35,Other candidate
36,Other candidate
37,Other candidate
38,Other candidate
39,Pumpernickel
40,Pumpernickel
41,Pumpernickel
42,Other candidate
43,Other candidate
44,Other candidate
45,Other candidate
46,Other candidate
47,Other candidate
48,Other candidate
49,Other candidate
50,Other candidate
51,Pumpernickel
52,Pumpernickel
53,Other candidate
54,Pumpernickel
55,Other candidate
56,Other candidate
57,Other candidate
58,Other candidate
59,Other candidate
60,Other candidate
61,Other candidate
62,Other candidate
63,Other candidate
64,Pumpernickel
65,Other candidate
66,Other candidate
67,Pumpernickel
68,Other candidate
69,Pumpernickel
70,Other candidate
71,Other candidate
72,Pumpernickel
73,Other candidate
74,Pumpernickel
75,Other candidate
76,Other candidate
77,Other candidate
78,Other candidate
79,Other candidate
80,Other candidate
81,Other candidate
82,Other candidate
83,Pumpernickel
84,Pumpernickel
85,Pumpernickel
86,Other candidate
87,Other candidate
88,Other candidate
89,Pumpernickel
90,Pumpernickel
91,Pumpernickel
92,Other candidate
93,Other candidate
94,Other candidate
95,Other candidate
96,Other candidate
97,Other candidate
98,Other candidate
99,Other candidate
100,Other candidate
101,Other candidate
102,Other candidate
103,Other candidate
104,Other candidate
105,Other candidate
106,Other candidate
107,Other candidate
108,Other candidate
109,Other candidate
110,Pumpernickel
111,Other candidate
112,Other candidate
113,Pumpernickel
114,Other candidate
115,Other candidate
116,Pumpernickel
117,Other candidate
118,Pumpernickel
119,Other candidate
120,Other candidate
121,Pumpernickel
122,Other candidate
123,Other candidate
124,Other candidate
125,Pumpernickel
126,Other candidate
127,Pumpernickel
128,Other candidate
129,Other candidate
130,Other candidate
131,Other candidate
132,Other candidate
133,Other candidate
134,Other candidate
135,Pumpernickel
136,Other candidate
137,Pumpernickel
138,Other candidate
139,Other candidate
