"","voter_id","candidate","pumpernickel_voter"
"1",1,"Other candidate",FALSE
"2",2,"Other candidate",FALSE
"3",3,"Other candidate",FALSE
"4",4,"Other candidate",FALSE
"5",5,"Pumpernickel",TRUE
"6",6,"Other candidate",FALSE
"7",7,"Other candidate",FALSE
"8",8,"Other candidate",FALSE
"9",9,"Other candidate",FALSE
"10",10,"Other candidate",FALSE
"11",11,"Other candidate",FALSE
"12",12,"Other candidate",FALSE
"13",13,"Pumpernickel",TRUE
"14",14,"Pumpernickel",TRUE
"15",15,"Other candidate",FALSE
"16",16,"Other candidate",FALSE
"17",17,"Other candidate",FALSE
"18",18,"Other candidate",FALSE
"19",19,"Other candidate",FALSE
"20",20,"Pumpernickel",TRUE
"21",21,"Other candidate",FALSE
"22",22,"Other candidate",FALSE
"23",23,"Pumpernickel",TRUE
"24",24,"Other candidate",FALSE
"25",25,"Other candidate",FALSE
"26",26,"Pumpernickel",TRUE
"27",27,"Other candidate",FALSE
"28",28,"Other candidate",FALSE
"29",29,"Other candidate",FALSE
"30",30,"Other candidate",FALSE
"31",31,"Other candidate",FALSE
"32",32,"Other candidate",FALSE
"33",33,"Other candidate",FALSE
"34",34,"Pumpernickel",TRUE
"35",35,"Other candidate",FALSE
"36",36,"Other candidate",FALSE
"37",37,"Other candidate",FALSE
"38",38,"Other candidate",FALSE
"39",39,"Pumpernickel",TRUE
"40",40,"Pumpernickel",TRUE
"41",41,"Pumpernickel",TRUE
"42",42,"Other candidate",FALSE
"43",43,"Other candidate",FALSE
"44",44,"Other candidate",FALSE
"45",45,"Other candidate",FALSE
"46",46,"Other candidate",FALSE
"47",47,"Other candidate",FALSE
"48",48,"Other candidate",FALSE
"49",49,"Other candidate",FALSE
"50",50,"Other candidate",FALSE
"51",51,"Pumpernickel",TRUE
"52",52,"Pumpernickel",TRUE
"53",53,"Other candidate",FALSE
"54",54,"Pumpernickel",TRUE
"55",55,"Other candidate",FALSE
"56",56,"Other candidate",FALSE
"57",57,"Other candidate",FALSE
"58",58,"Other candidate",FALSE
"59",59,"Other candidate",FALSE
"60",60,"Other candidate",FALSE
"61",61,"Other candidate",FALSE
"62",62,"Other candidate",FALSE
"63",63,"Other candidate",FALSE
"64",64,"Pumpernickel",TRUE
"65",65,"Other candidate",FALSE
"66",66,"Other candidate",FALSE
"67",67,"Pumpernickel",TRUE
"68",68,"Other candidate",FALSE
"69",69,"Pumpernickel",TRUE
"70",70,"Other candidate",FALSE
"71",71,"Other candidate",FALSE
"72",72,"Pumpernickel",TRUE
"73",73,"Other candidate",FALSE
"74",74,"Pumpernickel",TRUE
"75",75,"Other candidate",FALSE
"76",76,"Other candidate",FALSE
"77",77,"Other candidate",FALSE
"78",78,"Other candidate",FALSE
"79",79,"Other candidate",FALSE
"80",80,"Other candidate",FALSE
"81",81,"Other candidate",FALSE
"82",82,"Other candidate",FALSE
"83",83,"Pumpernickel",TRUE
"84",84,"Pumpernickel",TRUE
"85",85,"Pumpernickel",TRUE
"86",86,"Other candidate",FALSE
"87",87,"Other candidate",FALSE
"88",88,"Other candidate",FALSE
"89",89,"Pumpernickel",TRUE
"90",90,"Pumpernickel",TRUE
"91",91,"Pumpernickel",TRUE
"92",92,"Other candidate",FALSE
"93",93,"Other candidate",FALSE
"94",94,"Other candidate",FALSE
"95",95,"Other candidate",FALSE
"96",96,"Other candidate",FALSE
"97",97,"Other candidate",FALSE
"98",98,"Other candidate",FALSE
"99",99,"Other candidate",FALSE
"100",100,"Other candidate",FALSE
"101",101,"Other candidate",FALSE
"102",102,"Other candidate",FALSE
"103",103,"Other candidate",FALSE
"104",104,"Other candidate",FALSE
"105",105,"Other candidate",FALSE
"106",106,"Other candidate",FALSE
"107",107,"Other candidate",FALSE
"108",108,"Other candidate",FALSE
"109",109,"Other candidate",FALSE
"110",110,"Pumpernickel",TRUE
"111",111,"Other candidate",FALSE
"112",112,"Other candidate",FALSE
"113",113,"Pumpernickel",TRUE
"114",114,"Other candidate",FALSE
"115",115,"Other candidate",FALSE
"116",116,"Pumpernickel",TRUE
"117",117,"Other candidate",FALSE
"118",118,"Pumpernickel",TRUE
"119",119,"Other candidate",FALSE
"120",120,"Other candidate",FALSE
"121",121,"Pumpernickel",TRUE
"122",122,"Other candidate",FALSE
"123",123,"Other candidate",FALSE
"124",124,"Other candidate",FALSE
"125",125,"Pumpernickel",TRUE
"126",126,"Other candidate",FALSE
"127",127,"Pumpernickel",TRUE
"128",128,"Other candidate",FALSE
"129",129,"Other candidate",FALSE
"130",130,"Other candidate",FALSE
"131",131,"Other candidate",FALSE
"132",132,"Other candidate",FALSE
"133",133,"Other candidate",FALSE
