year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2002,6.7,10001,FR,2,1940,63,0,,5,5,5,3,3,2,10,7,5,
2002,6.7,10002,FR,1,1967,36,0,,8,3,9,8,3,3,10,3,5,
2002,6.7,10003,FR,1,1967,36,0,,10,0,10,5,1,3,1,0,5,
2002,6.7,10004,FR,2,1926,77,0,,6,3,7,3,1,2,3,5,5,
2002,6.7,10005,FR,2,1921,82,0,,0,0,5,0,1,2,8,5,4,
2002,6.7,10006,FR,1,1951,52,0,,3,7,5,2,2,4,7,8,8,
2002,6.7,10007,FR,1,1963,40,0,,3,2,6,2,2,3,6,2,5,
2002,6.7,10008,FR,1,1949,54,0,,3,1,4,8,1,1,4,2,7,
2002,6.7,10009,FR,1,1979,24,0,,5,0,6,10,3,2,10,0,5,
2002,6.7,10010,FR,1,1933,70,0,,7,6,5,6,2,3,9,4,4,
2002,6.7,10011,FR,1,1934,69,0,,4,3,8,5,4,4,9,5,4,
2002,6.7,10012,FR,1,1954,49,0,,5,9,6,6,3,2,10,8,7,
2002,6.7,10013,FR,2,1936,67,0,,4,5,5,4,3,2,8,8,5,
2002,6.7,10014,FR,1,1950,53,0,,7,5,7,6,2,2,6,7,8,
2002,6.7,10015,FR,1,1971,32,0,,6,5,5,4,2,2,5,6,6,
2002,6.7,10016,FR,2,1938,65,0,,0,5,6,5,3,1,8,2,5,
2002,6.7,10017,FR,2,1966,37,0,,7,4,7,2,1,2,9,4,2,
2002,6.7,10018,FR,2,1971,32,0,,3,5,3,5,3,3,5,3,4,
2002,6.7,10019,FR,1,1932,71,0,,6,5,6,5,1,2,8,6,7,
2002,6.7,10020,FR,1,1930,73,0,,2,3,4,3,2,3,6,3,5,
2002,6.7,10021,FR,1,1936,67,0,,8,5,5,5,2,2,5,4,6,
2002,6.7,10022,FR,1,1926,77,0,,7,7,8,3,2,1,5,7,8,
2002,6.7,10023,FR,2,1967,36,0,,0,0,6,0,1,1,7,5,5,
2002,6.7,10024,FR,2,1963,40,0,,3,3,4,3,2,4,6,6,4,
2002,6.7,10025,FR,1,1942,61,0,,7,2,7,7,4,2,8,7,2,
2002,6.7,10026,FR,2,1966,37,0,,2,8,5,1,3,2,8,7,8,
2002,6.7,10027,FR,1,1984,19,0,,5,3,5,3,2,2,8,5,4,
2002,6.7,10028,FR,1,1920,83,0,,2,1,5,2,2,4,8,7,2,
2002,6.7,10029,FR,2,1973,30,0,,4,3,4,2,2,3,5,4,4,
2002,6.7,10030,FR,2,1967,36,0,,5,3,8,6,4,4,9,4,6,
2002,6.7,10031,FR,2,1931,72,0,,8,2,8,2,3,2,8,7,8,
2002,6.7,10032,FR,1,1912,91,0,,2,0,5,5,2,2,10,2,0,
2002,6.7,10033,FR,1,1934,69,0,,5,4,3,3,2,2,5,5,5,
2002,6.7,10034,FR,2,1976,27,0,,4,4,7,4,3,3,6,8,3,
2002,6.7,10035,FR,2,1936,67,0,,3,5,5,5,1,2,10,3,5,
2002,6.7,10036,FR,2,1950,53,0,,7,7,7,5,2,4,8,10,5,
2002,6.7,10037,FR,1,1930,73,0,,4,4,4,7,1,4,8,7,4,
2002,6.7,10038,FR,1,1959,44,0,,4,4,6,5,4,2,4,4,5,
2002,6.7,10039,FR,2,1929,74,0,,8,6,8,8,3,1,8,5,6,
2002,6.7,10040,FR,1,1971,32,0,,5,5,7,2,4,1,9,5,5,
2002,6.7,10041,FR,2,1983,20,0,,5,5,4,3,4,3,6,6,6,
