year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2023,4.1,50014,FR,1,1975,48,7,21,5,5,5,2,,,7,5,7,Masters degree or more
2023,4.1,50047,FR,2,1969,54,2,6,6,4,6,5,,,8,5,5,High school diploma or less
2023,4.1,50131,FR,2,1985,38,5,15,4,3,5,2,,,7,8,4,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,50152,FR,2,1955,68,1,2,0,0,6,4,,,4,7,0,High school diploma or less
2023,4.1,50160,FR,1,1986,37,6,18,5,3,6,6,,,8,6,88,"Undergraduate degree (licence, licence pro)"
2023,4.1,50190,FR,2,1972,51,6,18,5,6,9,6,,,10,9,3,"Undergraduate degree (licence, licence pro)"
2023,4.1,50211,FR,2,2005,18,4,9,4,88,5,5,,,8,88,88,High school diploma or less
2023,4.1,50213,FR,2,1952,71,7,21,5,0,6,6,,,8,5,0,Masters degree or more
2023,4.1,50214,FR,1,1996,27,4,9,7,5,8,7,,,7,3,4,High school diploma or less
2023,4.1,50225,FR,1,1962,61,3,7,5,7,7,3,,,6,7,7,High school diploma or less
2023,4.1,50236,FR,1,2003,20,5,15,0,6,10,0,,,6,6,6,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,50248,FR,2,1945,78,1,3,3,2,6,2,,,5,1,3,High school diploma or less
2023,4.1,50252,FR,1,1958,66,4,11,5,4,5,4,,,5,5,5,High school diploma or less
2023,4.1,50270,FR,1,1940,83,4,11,3,3,4,1,,,8,4,5,High school diploma or less
2023,4.1,50273,FR,2,1985,38,5,15,2,3,3,3,,,8,3,3,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,50308,FR,1,1996,27,7,22,7,5,8,4,,,9,8,7,Masters degree or more
2023,4.1,50310,FR,1,1944,79,3,7,5,0,3,7,,,5,0,0,High school diploma or less
2023,4.1,50367,FR,2,1934,90,1,3,4,5,7,7,,,5,6,5,High school diploma or less
2023,4.1,50391,FR,1,1954,69,3,7,10,0,10,10,,,10,0,7,High school diploma or less
2023,4.1,50404,FR,1,1956,67,2,5,5,5,7,5,,,8,5,88,High school diploma or less
2023,4.1,50408,FR,2,1970,53,3,8,1,2,9,8,,,2,3,3,High school diploma or less
2023,4.1,50433,FR,2,1941,82,3,7,5,5,10,10,,,10,5,5,High school diploma or less
2023,4.1,50443,FR,2,1953,70,4,11,8,6,8,8,,,9,6,5,High school diploma or less
2023,4.1,50445,FR,1,1967,56,1,4,6,4,7,5,,,7,6,6,High school diploma or less
2023,4.1,50446,FR,1,1956,67,3,7,4,0,7,3,,,2,0,2,High school diploma or less
2023,4.1,50465,FR,1,1998,25,7,19,7,4,7,5,,,3,5,5,Masters degree or more
2023,4.1,50468,FR,1,1957,66,3,7,5,6,7,6,,,8,5,2,High school diploma or less
2023,4.1,50530,FR,1,1992,31,4,9,5,3,7,5,,,8,5,3,High school diploma or less
2023,4.1,50547,FR,1,2000,23,6,18,5,3,5,2,,,7,7,6,"Undergraduate degree (licence, licence pro)"
2023,4.1,50568,FR,1,1965,58,3,7,2,5,8,6,,,3,4,5,High school diploma or less
2023,4.1,50602,FR,1,1958,65,7,22,7,2,3,3,,,8,6,5,Masters degree or more
2023,4.1,50610,FR,2,1960,63,4,11,5,7,8,6,,,7,7,7,High school diploma or less
2023,4.1,50638,FR,2,2002,21,4,11,6,4,6,4,,,7,4,4,High school diploma or less
2023,4.1,50693,FR,2,2003,20,4,11,4,4,8,5,,,7,6,5,High school diploma or less
2023,4.1,50714,FR,2,1995,28,7,19,4,0,6,6,,,8,3,6,Masters degree or more
2023,4.1,50771,FR,1,1947,76,1,3,5,3,10,6,,,6,4,0,High school diploma or less
2023,4.1,50789,FR,1,1971,52,7,21,7,5,7,5,,,7,4,5,Masters degree or more
2023,4.1,50811,FR,1,2007,16,2,5,4,2,6,8,,,10,0,88,High school diploma or less
2023,4.1,50812,FR,2,1995,28,1,4,1,2,1,2,,,7,1,0,High school diploma or less
2023,4.1,50826,FR,1,2005,18,3,7,6,2,8,6,,,9,4,4,High school diploma or less
2023,4.1,50827,FR,2,1982,41,4,9,6,5,8,5,,,8,5,4,High school diploma or less
2023,4.1,50832,FR,2,1949,74,2,5,5,2,8,5,,,5,5,0,High school diploma or less
2023,4.1,50841,FR,2,1987,36,6,17,6,6,6,6,,,7,7,5,"Undergraduate degree (licence, licence pro)"
2023,4.1,50848,FR,1,1994,29,7,20,4,3,4,6,,,3,7,6,Masters degree or more
2023,4.1,50903,FR,1,1968,55,3,7,3,5,5,5,,,5,6,3,High school diploma or less
2023,4.1,50913,FR,1,1987,36,7,22,8,5,7,6,,,7,5,6,Masters degree or more
2023,4.1,50931,FR,1,1983,40,7,24,8,4,8,2,,,8,3,7,Masters degree or more
2023,4.1,50940,FR,2,1995,29,7,19,7,6,7,3,,,7,4,5,Masters degree or more
2023,4.1,50987,FR,1,7777,999,1,1,3,3,6,3,,,6,6,4,High school diploma or less
2023,4.1,50994,FR,2,1967,56,4,11,4,0,4,0,,,10,0,0,High school diploma or less
2023,4.1,51029,FR,2,1962,61,5,14,3,7,6,7,,,4,5,6,"Short-cycle tertiary (BTS, DUT)"
